"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Microbulbifer aggregans",6,356,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","aggregans"
"Microbulbifer celer",6,254,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","celer"
"Microbulbifer elongatus",6,224,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","elongatus"
"Microbulbifer hydrolyticus",6,269,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","hydrolyticus"
"Microbulbifer sp. A4B17",1,32,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","sp. A4B17"
"Microbulbifer sp. ALW1",6,288,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","sp. ALW1"
"Microbulbifer sp. SH-1",6,378,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","sp. SH-1"
"Microbulbifer sp. YPW1",6,237,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","sp. YPW1"
"Microbulbifer sp. YPW16",6,420,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","sp. YPW16"
"Microbulbifer thermotolerans",6,240,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","thermotolerans"
"Spongiibacter nanhainus",6,213,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Spongiibacter","nanhainus"
"Spongiibacter sp. IMCC21906",1,29,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Spongiibacter","sp. IMCC21906"
"Zhongshania aliphaticivorans",4,106,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Zhongshania","aliphaticivorans"
"Allochromatium tepidum",6,1202,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Allochromatium","tepidum"
"Allochromatium vinosum",6,1199,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Allochromatium","vinosum"
"Caldichromatium japonicum",6,612,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Caldichromatium","japonicum"
"Marichromatium purpuratum",6,1711,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium","purpuratum"
"Nitrosococcus halophilus",3,104,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus","halophilus"
"Nitrosococcus wardiae",1,34,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus","wardiae"
"Nitrosococcus watsonii",2,66,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus","watsonii"
"Rheinheimera sp. F8",2,44,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rheinheimera","sp. F8"
"Thermochromatium tepidum",6,863,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thermochromatium","tepidum"
